movie_name,release_year,imdb_grades,genres,casts,duration in min,country,production
The Doberman Gang,1972,,"Action,Crime,Comedy","JulieParrish,SimmyBow,JoJoD'Amore,LianaO'Cleirigh,RuthMcGill",90,Ireland,RosamundProductionsInc.
Extremities,1986,,"Thriller,Drama","SandyMartin,EddieVelez,DonnaLynnLeavy,AlfreWoodard,ClareWren",90,UnitedStatesofAmerica,AtlanticEntertainmentGroup
Cat's Eye,1985,,"Thriller,Comedy,Horror","JamesNaughton,FrankWelker,AlanKing,JamesWoods,CharlesS.Dutton",90,UnitedStatesofAmerica,"DinoDeLaurentiisCompany,InternationalFilmCorporation,FamousFilms"
What's Your Number?,2011,,"Romance,Comedy","JohnFranchi,IvanaMiličević,ZacharyQuinto,EdBegleyJr.,ThomasLennon",90,Germany,"NewRegencyPictures,Contrafilm,RegencyEnterprises"
The Scream Team,2002,,"TVMovie,Fantasy,Comedy","NigelBennett,TommyDavidson,KatDennings,ZoiePalmer,EdieInksetter",90,UnitedStatesofAmerica,"DisneyChannel,HartbreakFilms"
Gypsy 83,2001,,Drama,"JohnDoe,SaraRue,ErikaGuillory,PauloCostanzo,HeatherLitteer",90,SouthKorea,"LunaPictures,StaccatoFilms,VelvetFilms"
The Conformist,1970,,Drama,"FoscoGiachetti,GastoneMoschin,PierreClémenti,StefaniaSandrelli,YvonneSanson",90,SouthAfrica,"MarianneProductions,MarsFilms,MaranFilm"
The Bargee,1964,,Comedy,"JuliaFoster,HarryH.Corbett,MiriamKarlin,RonnieBarker,HughGriffith",90,Canada,Galton-Simpson
Narc,2002,,"Drama,Crime,Thriller,Action","RayLiotta,JasonPatric,StaceyFarber,JohnOrtiz,BustaRhymes",90,UnitedStatesofAmerica,"Paramount,Cruise/WagnerProductions,LionsGateFilms"
The Encounter,2015,,"ScienceFiction,Horror","ClintJames,OwenConway,JunjiIijima,NilsBrück,",90,UnitedKingdom,FunHouseFeatures
